source	target	paths	pathways	diseases	source_orthologs	other_orthologs
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1852	35	17	1	9
NGLY1::NCBIGene:55768	Aqp1::NCBIGene:11826	0	0	0	0	0
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	1088	14	17	1	12
NGLY1::NCBIGene:55768	ENGASE::NCBIGene:64772	680	8	12	1	6
NGLY1::NCBIGene:55768	AQP3::NCBIGene:360	1068	16	17	1	9
NGLY1::NCBIGene:55768	AQP11::NCBIGene:282679	940	11	17	1	10
AQP1::NCBIGene:358	NGLY1::NCBIGene:55768	416	8	10	1	5
AQP1::NCBIGene:358	Aqp1::NCBIGene:11826	0	0	0	0	0
AQP1::NCBIGene:358	NFE2L1::NCBIGene:4779	788	14	20	1	11
AQP1::NCBIGene:358	ENGASE::NCBIGene:64772	328	6	7	1	5
AQP1::NCBIGene:358	AQP3::NCBIGene:360	2620	23	20	1	11
AQP1::NCBIGene:358	AQP11::NCBIGene:282679	1260	13	20	1	11
Aqp1::NCBIGene:11826	NGLY1::NCBIGene:55768	0	0	0	0	0
Aqp1::NCBIGene:11826	AQP1::NCBIGene:358	0	0	0	0	0
Aqp1::NCBIGene:11826	NFE2L1::NCBIGene:4779	0	0	0	0	0
Aqp1::NCBIGene:11826	ENGASE::NCBIGene:64772	0	0	0	0	0
Aqp1::NCBIGene:11826	AQP3::NCBIGene:360	0	0	0	0	0
Aqp1::NCBIGene:11826	AQP11::NCBIGene:282679	0	0	0	0	0
NFE2L1::NCBIGene:4779	NGLY1::NCBIGene:55768	352	8	13	1	5
NFE2L1::NCBIGene:4779	AQP1::NCBIGene:358	2480	81	27	1	9
NFE2L1::NCBIGene:4779	Aqp1::NCBIGene:11826	0	0	0	0	0
NFE2L1::NCBIGene:4779	ENGASE::NCBIGene:64772	224	5	8	1	4
NFE2L1::NCBIGene:4779	AQP3::NCBIGene:360	1368	22	25	1	9
NFE2L1::NCBIGene:4779	AQP11::NCBIGene:282679	832	13	25	1	9
ENGASE::NCBIGene:64772	NGLY1::NCBIGene:55768	204	11	1	1	6
ENGASE::NCBIGene:64772	AQP1::NCBIGene:358	360	31	1	1	7
ENGASE::NCBIGene:64772	Aqp1::NCBIGene:11826	0	0	0	0	0
ENGASE::NCBIGene:64772	NFE2L1::NCBIGene:4779	156	11	1	1	10
ENGASE::NCBIGene:64772	AQP3::NCBIGene:360	236	16	1	1	8
ENGASE::NCBIGene:64772	AQP11::NCBIGene:282679	168	11	1	1	9
AQP3::NCBIGene:360	NGLY1::NCBIGene:55768	20	3	4	1	2
AQP3::NCBIGene:360	AQP1::NCBIGene:358	4288	79	18	1	8
AQP3::NCBIGene:360	Aqp1::NCBIGene:11826	0	0	0	0	0
AQP3::NCBIGene:360	NFE2L1::NCBIGene:4779	388	11	18	1	7
AQP3::NCBIGene:360	ENGASE::NCBIGene:64772	12	2	3	1	2
AQP3::NCBIGene:360	AQP11::NCBIGene:282679	680	12	18	1	7
AQP11::NCBIGene:282679	NGLY1::NCBIGene:55768	492	8	8	1	6
AQP11::NCBIGene:282679	AQP1::NCBIGene:358	3940	82	14	1	10
AQP11::NCBIGene:282679	Aqp1::NCBIGene:11826	0	0	0	0	0
AQP11::NCBIGene:282679	NFE2L1::NCBIGene:4779	844	14	13	1	11
AQP11::NCBIGene:282679	ENGASE::NCBIGene:64772	372	6	5	1	6
AQP11::NCBIGene:282679	AQP3::NCBIGene:360	2096	24	15	1	11
